RNG Hexa,RNG Index,Instant mash ?,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10
c04e8d55,268,NO = 12,Grat / Bird / Chimera / Beast,Glacial / Grat / Chimera / Mantis,Creeps / Malboro / Mask / Snake,Giant / Grat / Elastoid / Grendel,Malboro / Bird / Mantis / Creeps,Ruby / Buel / Robot / Unicorn,Giant / Malboro / Ruby / Mask,Unicorn / Buel / Creeps / Glacial,Snake / Ruby / Elnoyle / Jelleye,Mantis / Unicorn / Jelleye / Buel
89697e12,269,NO = 86,Elnoyle / Grendel / King / Snake,Giant / Grat / Grendel / Mantis,Elastoid / Jelleye / Giant / Grat,Grendel / Elastoid / Buel / Unicorn,Grat / Jelleye / Beast / Mask,Glacial / Elastoid / Creeps / Buel,Snake / Mantis / Glacial / Jelleye,Biggs / Robot / Elastoid / Buel,King / Bird / Elnoyle / Glacial,Malboro / Mask / Snake / Unicorn
e2f2de6b,270,NO = 94,Chimera / Creeps / Grendel / Jelleye,Snake / Chimera / Elnoyle / Robot,Jelleye / Creeps / Mantis / Elnoyle,Unicorn / Chimera / Biggs / Snake,Snake / Grendel / Giant / Chimera,Elnoyle / Grat / Elastoid / Creeps,Beast / Grendel / Chimera / Ruby,Robot / Unicorn / King / Grendel,Elnoyle / Jelleye / Glacial / Grat,Buel / Glacial / Elastoid / Jelleye
f0328ab0,271,NO = 40,Jelleye / Grat / Giant / Biggs,Buel / Malboro / Beast / Chimera,Robot / Grat / Unicorn / Elastoid,King / Malboro / Chimera / Ruby,Giant / Buel / Glacial / King,Elastoid / Ruby / Mask / Giant,Grendel / Buel / Robot / Unicorn,Grat / Ruby / Bird / Robot,Mask / Chimera / Ruby / Creeps,Grendel / Creeps / Mantis / Malboro
7433fef1,272,YES = 0,Grendel / Bird / Unicorn / Chimera,Buel / Giant / Unicorn / Bird,Bird / Creeps / Giant / Grendel,Grendel / Biggs / Glacial / Mantis,Giant / Bird / Robot / Buel,Elastoid / Giant / Robot / Glacial,Ruby / Bird / Snake / Unicorn,Giant / Ruby / Grendel / Beast,Mask / Snake / Grendel / Buel,Creeps / Buel / Elnoyle / Glacial
b08663fe,273,NO = 36,Ruby / Glacial / Robot / Mantis,Biggs / Jelleye / Glacial / Ruby,Glacial / Elastoid / King / Buel,Creeps / Jelleye / Bird / Beast,Mantis / Elastoid / Malboro / Glacial,Glacial / Mantis / Malboro / Snake,Malboro / Elastoid / Grendel / Robot,King / Mantis / Elnoyle / Elastoid,Chimera / Robot / Jelleye / Unicorn,Malboro / Grat / Mantis / Mask
92aff867,274,NO = 83,Biggs / Grendel / Elnoyle / Mantis,Chimera / Jelleye / Bird / Snake,Robot / Grendel / Biggs / Elastoid,King / Biggs / Creeps / Snake,Buel / Jelleye / Unicorn / Snake,Bird / Elastoid / Beast / Buel,Jelleye / Unicorn / Glacial / Biggs,Buel / Elastoid / Glacial / Bird,Bird / Mantis / Elastoid / Grendel,Ruby / Robot / Mask / Mantis
5eee257c,275,NO = 67,Biggs / Mantis / Jelleye / King,Glacial / Robot / Biggs / Giant,Snake / Grat / Creeps / Biggs,Mantis / Snake / Beast / Robot,Glacial / Giant / Beast / Ruby,Malboro / Snake / Unicorn / Biggs,King / Beast / Mantis / Buel,Chimera / Snake / Mask / Elastoid,Robot / Beast / Elastoid / Snake,King / Creeps / Malboro / Grendel
4217504d,276,NO = 123,Jelleye / Unicorn / Giant / Mask,Beast / Ruby / Buel / Snake,Robot / Chimera / Jelleye / Unicorn,Elnoyle / Grendel / Chimera / Grat,Giant / Chimera / Mask / Glacial,Mask / Grendel / Elastoid / Bird,Creeps / Bird / Ruby / Elastoid,Grat / Jelleye / Robot / Biggs,Mask / Ruby / Beast / Robot,Snake / Jelleye / Creeps / Elastoid
6c0c36aa,277,NO = 36,Creeps / Unicorn / Buel / Ruby,Jelleye / Elnoyle / Elastoid / Creeps,Chimera / Glacial / Buel / Giant,Malboro / Elnoyle / Elastoid / Glacial,King / Glacial / Mask / Snake,Chimera / King / Snake / Grendel,Snake / Mask / Malboro / Mantis,Jelleye / King / Creeps / Unicorn,Buel / Mask / Elnoyle / Unicorn,Bird / Mantis / King / Creeps
5b386823,278,NO = 97,Beast / King / Giant / Glacial,Robot / Creeps / Mantis / Chimera,Grendel / Chimera&Biggs / Elastoid,Buel / Creeps / Ruby / King,Bird / Chimera / Buel / King,Grendel / Chimera&Beast / Giant,Beast / Buel / Glacial / Malboro,Elastoid / Ruby / Bird / Beast,Ruby / Unicorn / Mask / Grendel,Giant / Elnoyle / Bird / Mantis
51982b08,279,NO = 12,Buel / Snake / Chimera / Jelleye,Creeps / Jelleye / Unicorn / Grendel,Grat / Mask / Ruby / Buel,Glacial / King / Mask / Unicorn,Creeps / Mask / Elastoid / Bird,Biggs / Bird&Ruby / King,Chimera / Bird / Snake / King,Malboro / Biggs / Ruby / Beast,Biggs / Bird&Creeps / Malboro,Chimera / Giant / King / Malboro
3c11dd69,280,NO = 53,Snake / King / Biggs / Ruby,Jelleye / Mask / Giant / Biggs,Unicorn / Biggs / Buel / Beast,Malboro / Bird / Chimera / Biggs,King / Biggs / Unicorn / Malboro,Beast / Bird / Elastoid / Elnoyle,Robot / Giant / Elastoid / Malboro,Grendel / Bird / Chimera / Giant,Buel / Giant / Robot / Elastoid,Bird / Malboro / Creeps / Beast
dff5a216,281,YES = 0,Giant / Grendel / Robot / Elastoid,Elastoid / Chimera / Bird / Creeps,Ruby / Elnoyle / Malboro / Jelleye,Grat / Glacial / Creeps / Bird,Mask / Elnoyle / Glacial / Buel,Creeps / Glacial / Elnoyle / Bird,XX,XX,XX,XX
7303e99f,282,NO = 7,Snake / Giant / Ruby / Mantis,Mantis / Jelleye / Unicorn / King,Unicorn / Elastoid / Chimera / Giant,Snake / Mantis / Glacial / Bird,King / Glacial / Bird / Buel,Beast / Jelleye / Elastoid / Grendel,Robot / Mask / Bird / Mantis,King / Robot / Buel / Elnoyle,Buel / Mask / Ruby / Glacial,Bird / Biggs / Creeps / Snake
369e2754,283,YES = 0,Elnoyle / Biggs / Jelleye / Creeps,Giant / Bird / Jelleye / Robot,Elastoid / Giant / Grat / Glacial,Grendel / Bird / Buel / Glacial,Mantis / Grat / Chimera / Bird,Glacial / Malboro / Grendel / Giant,Creeps / Buel / Mantis / Malboro,Mantis / Malboro / Mask / Buel,Buel / Bird / Mask / Ruby,Ruby / Malboro / Snake / Chimera
ebf8c245,284,NO = 61,Grat / Elnoyle / Biggs / Unicorn,Mask / Glacial / Grat / Bird,Grendel / Buel / Ruby / Beast,Giant / Beast / King / Ruby,Elastoid / Jelleye / Unicorn / Beast,Ruby / Elnoyle / Mantis / Snake,Biggs / Jelleye / Elastoid / Malboro,Elastoid / Mask / Elnoyle / King,Creeps / Mantis / Malboro / Biggs,Mantis / Elastoid / Snake / Chimera
5a561242,285,YES = 0,Jelleye / Buel / Giant / Beast,Unicorn / Jelleye / Chimera / Elnoyle,Snake / Elastoid / Unicorn / Robot,King / Jelleye / Elastoid / Creeps,Chimera / Elastoid / Mantis / Unicorn,Malboro / Mantis / Bird / Buel,King / Robot / Malboro / Glacial,Buel / Mantis / Creeps / Snake,Bird / Robot / Ruby / Grendel,Grendel / Grat / Elnoyle / Giant
c81bf8db,286,NO = 85,Buel / Unicorn / Robot / Malboro,Mask / Elnoyle / Bird / Giant,Grendel / Glacial / Ruby / Snake,Giant / Elnoyle / Ruby / Jelleye,Elastoid / Glacial / Grendel / Grat,Ruby / King / Elnoyle / Unicorn,Biggs / Elastoid / Mantis / Bird,Jelleye / Mantis / Ruby / Elastoid,Creeps / Giant / Biggs / King,Mantis / Jelleye / Buel / Beast
a2e46660,287,YES = 0,Elastoid / Creeps / Snake / Biggs,Ruby / Beast / Malboro / Mantis,Giant / Ruby / Creeps / Elastoid,Unicorn / Grendel / Malboro / Grat,Snake / Elnoyle / King / Robot,Mantis / Unicorn / Jelleye / Giant,Glacial / Elnoyle / Biggs / Chimera,Snake / Glacial / Giant / Bird,Biggs / Elnoyle / Buel / Creeps,Chimera / Glacial / Beast / Mantis
7078dae1,288,NO = 8,Snake / Biggs / Malboro / Elnoyle,Mantis / Bird / Malboro / Elnoyle,Glacial / Giant / Elnoyle / Ruby,Bird / Snake / Grendel / Chimera,Jelleye / Giant / King / Robot,Chimera / Snake / Mantis / Ruby,Robot / Beast / Grat / King,King / Snake / Giant / Buel,Chimera / Beast / Buel / Glacial,Mask / Ruby / Chimera / Snake
0ec5b32e,289,NO = 112,Chimera / Robot / Creeps / Ruby,Ruby / Grendel / Snake / Mantis,King / Snake / Buel / Elnoyle,Chimera / Grendel / Ruby / Mask,Snake / Grendel&Jelleye / Glacial,Jelleye / King / Grendel / Bird,Unicorn / Chimera / Jelleye / Giant,Snake / Grendel&Grat / Chimera,Jelleye / Giant / Robot / Grat,Beast / Jelleye / Buel / Ruby
9197d1d7,290,NO = 87,Malboro / Creeps / Buel / Snake,King / Chimera / Ruby / Glacial,Buel / Creeps / Grendel / Bird,Bird / Chimera / Elnoyle / Grendel,Grendel / Mantis / Jelleye / Buel,Buel / Chimera / Mantis / Bird,Robot / Grendel / Giant / Elastoid,Elnoyle / Glacial / Grat / Ruby,Beast / King / Chimera / Grat,Glacial / Unicorn / Giant / Creeps
,,,,,,,,,,,,
,,,Lvl 2,Lvl5,,,,,,,,
,,,Grat = Grat,Iron Giant = Giant,,,,,,,,
,,,Buel = Buel,Behemoth = Beast,,,,,,,,
,,,Mesmerize = Unicorn,Chimera = Chimera,,,,,,,,
,,,Glacial Eye = Glacial,Pupu,,,,,,,,
,,,Belhelmel = Mask,Elastoid = Elastoid,,,,,,,,
,,,Thrustaevis = Bird,GIM47N = Robot,,,,,,,,
,,,Anacondaur = Snake,Malboro = Malboro,,,,,,,,
,,,Creeps = Creeps,Ruby Dragon = Ruby,,,,,,,,
,,,Grendel = Grendel,Elnoyle = Elnoyle,,,,,,,,
,,,Jelleye = Jelleye,Tonberry King = King,,,,,,,,
,,,Grand Mantis = Mantis,Wedge / Biggs = Biggs,,,,,,,,
